id,drive_file_id,name,mime_type,size,created_time,modified_time,web_view_link,is_shared,synced_at
4785,1CSIwo3vLn-JTxiq7xHE5LK4eliCMqA08L__r3urv6dw,Biography,application/vnd.google-apps.document,3632,2024-05-22 04:14:06.373,2024-05-22 04:16:10.075,https://docs.google.com/document/d/1CSIwo3vLn-JTxiq7xHE5LK4eliCMqA08L__r3urv6dw/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
1664,1kPQzCNpoxNsOGWj6qV12HTXCPV7rjHyA,hubspot-integration-guide.md,text/markdown,5457,2025-06-22 20:07:33.513,2025-06-17 20:31:06.196,https://drive.google.com/file/d/1kPQzCNpoxNsOGWj6qV12HTXCPV7rjHyA/view?usp=drivesdk,f,2025-10-06 14:26:58.622724
1665,1SUCJf85HYNyF2vCslIOOcyFiAQV-DiEr,action-plan-summary.md,text/markdown,3798,2025-06-22 20:07:33.488,2025-06-17 20:30:50.397,https://drive.google.com/file/d/1SUCJf85HYNyF2vCslIOOcyFiAQV-DiEr/view?usp=drivesdk,f,2025-10-06 14:26:58.622724
1669,1_5iQOtLJdKID3S6Asx7IYGU8FnlmGXF6,intelligence-style-learning.json,application/json,27039,2025-06-22 20:07:33.374,2025-06-17 19:42:28.644,https://drive.google.com/file/d/1_5iQOtLJdKID3S6Asx7IYGU8FnlmGXF6/view?usp=drivesdk,f,2025-10-06 14:26:58.622724
4786,1t-wwfBb77p_w_Lx6aBmyai9ofPe4VAoPKM9qoUqHek0,Quotes,application/vnd.google-apps.document,2428,2024-05-22 04:11:09.397,2024-05-22 04:13:00.681,https://docs.google.com/document/d/1t-wwfBb77p_w_Lx6aBmyai9ofPe4VAoPKM9qoUqHek0/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4787,1hWwFtWemVjJTV56TDW0KjODADhsdO4QRMtNXgtgQ5C4,Biography,application/vnd.google-apps.document,3703,2024-05-22 04:07:21.561,2024-05-22 04:10:46.118,https://docs.google.com/document/d/1hWwFtWemVjJTV56TDW0KjODADhsdO4QRMtNXgtgQ5C4/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
2839,1dMNnRmp25sH0-VtT0cujfwZfVrEjMHQT,Simpactful Onboarding 2025.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,21449581,2024-12-20 21:08:45.524,2025-05-22 18:10:33.423,https://docs.google.com/presentation/d/1dMNnRmp25sH0-VtT0cujfwZfVrEjMHQT/edit?usp=drivesdk&ouid=104838235178671148782&rtpof=true&sd=true,t,2025-10-06 14:29:52.219459
997,1E6D6-oJ1lLkqfMwmvnVtdD40vv9j8NkX,WMB PITCH DECK '25.pdf,application/vnd.google-apps.shortcut,0,2025-08-13 03:31:34.061,2025-08-13 03:31:34.061,https://drive.google.com/file/d/1E6D6-oJ1lLkqfMwmvnVtdD40vv9j8NkX/view?usp=drivesdk,t,2025-10-06 14:25:06.203009
4788,1w8UfG3NURUHC7C_IEvx4UjnZuVspTkZUBbOm5LjcQC8,Quotes,application/vnd.google-apps.document,3882,2024-05-22 03:19:57.304,2024-05-22 03:25:37.533,https://docs.google.com/document/d/1w8UfG3NURUHC7C_IEvx4UjnZuVspTkZUBbOm5LjcQC8/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
4789,1y0g3aZ6X_tBfqm2oewJuvwO8-sSIGwLfiUySeaCoEhw,Biography,application/vnd.google-apps.document,3895,2024-05-22 03:12:32.225,2024-05-22 03:16:19.794,https://docs.google.com/document/d/1y0g3aZ6X_tBfqm2oewJuvwO8-sSIGwLfiUySeaCoEhw/edit?usp=drivesdk,t,2025-10-06 14:34:47.026626
